Amount,MCC,Is Fraud?,Hours,Use_Chip_Chip Transaction,Use_Chip_Online Transaction,Use_Chip_Swipe Transaction
-95.0,5499,1,18,0,0,1
17.63,5499,1,18,0,0,1
95.0,5499,1,18,0,0,1
2.73,5411,1,10,0,0,1
55.03,5719,1,6,0,1,0
98.85,4829,1,6,0,1,0
142.82,4829,1,7,0,1,0
96.38,4829,1,9,0,1,0
147.34,4722,1,9,0,1,0
209.43,5211,1,10,0,0,1
49.38,5300,1,4,0,1,0
244.67,5816,1,4,0,1,0
15.07,5211,1,10,0,0,1
346.11,5300,1,11,0,1,0
208.02,5045,1,11,0,1,0
78.16,4829,1,11,0,1,0
58.16,5251,1,11,0,1,0
73.26,5300,1,13,0,1,0
79.6,5311,1,13,0,1,0
149.84,3174,1,14,0,1,0
385.88,3006,1,22,0,1,0
9.53,5921,1,12,1,0,0
510.24,5712,1,12,1,0,0
2.52,5661,1,19,1,0,0
123.07,5932,1,10,1,0,0
358.76,3008,1,15,1,0,0
244.98,5812,1,13,1,0,0
103.45,5211,1,12,1,0,0
147.52,3509,1,15,1,0,0
131.92,5311,1,17,1,0,0
100.61,5651,1,12,1,0,0
91.42,5311,1,10,0,1,0
10.05,5921,1,11,0,0,1
91.75,5251,1,11,0,1,0
203.51,5311,1,13,0,1,0
39.36,5311,1,13,0,1,0
5.61,5719,1,16,0,1,0
52.12,5912,1,16,0,1,0
240.53,5719,1,6,0,1,0
187.8,5311,1,11,0,1,0
15.84,5311,1,16,0,1,0
7.56,5311,1,10,0,0,1
36.68,7542,1,13,1,0,0
11.45,5311,1,10,0,1,0
471.0,3504,1,21,0,1,0
398.93,3504,1,15,0,1,0
-471.0,3504,1,15,0,1,0
44.84,5411,1,13,1,0,0
0.32,4121,1,13,1,0,0
27.76,5921,1,19,1,0,0
146.27,5310,1,19,1,0,0
87.74,5310,1,10,1,0,0
197.41,5310,1,12,1,0,0
39.79,5311,1,12,1,0,0
51.83,5311,1,12,1,0,0
6.8,3144,1,18,1,0,0
185.47,5912,1,16,1,0,0
85.01,5211,1,17,1,0,0
7.23,4121,1,16,1,0,0
0.09,5311,1,13,1,0,0
12.47,5912,1,10,1,0,0
133.31,5211,1,15,1,0,0
71.82,5045,1,16,1,0,0
20.59,5651,1,16,1,0,0
159.55,3504,1,19,1,0,0
87.51,7832,1,10,0,1,0
22.79,4121,1,18,1,0,0
121.51,5932,1,14,1,0,0
14.73,4214,1,12,1,0,0
74.66,5311,1,15,1,0,0
159.7,5733,1,17,1,0,0
80.06,5812,1,11,1,0,0
153.83,3722,1,19,1,0,0
1.01,5211,1,17,1,0,0
3.24,5311,1,6,0,1,0
62.35,5719,1,13,0,1,0
124.14,5300,1,5,0,1,0
0.71,5311,1,5,0,1,0
206.86,4814,1,6,0,1,0
73.35,5912,1,7,0,1,0
164.53,5311,1,8,0,1,0
60.01,5719,1,13,0,1,0
166.54,5311,1,13,0,1,0
10.75,4829,1,14,0,1,0
212.13,5310,1,7,0,1,0
197.0,3509,1,10,0,1,0
6.4,5193,1,12,0,1,0
200.81,5651,1,15,0,1,0
42.28,5732,1,15,0,1,0
-197.0,3509,1,4,0,1,0
215.51,3509,1,4,0,1,0
150.5,5912,1,10,0,1,0
267.66,4829,1,10,0,1,0
57.87,4829,1,14,0,1,0
121.43,5921,1,10,0,0,1
1.38,5411,1,11,1,0,0
749.71,4411,1,11,0,1,0
219.0,3359,1,9,0,1,0
110.45,5719,1,10,0,1,0
2.74,4214,1,10,0,1,0
140.77,4829,1,10,0,1,0
82.37,4829,1,11,0,1,0
-219.0,3359,1,4,0,1,0
55.2,3359,1,4,0,1,0
2.33,4121,1,13,0,1,0
164.16,5300,1,13,0,1,0
70.63,5912,1,16,1,0,0
26.23,5311,1,13,1,0,0
77.42,5311,1,12,0,1,0
26.34,5310,1,12,0,1,0
170.54,7922,1,13,0,1,0
61.29,5311,1,16,0,1,0
19.79,4829,1,16,0,1,0
289.0,3780,1,17,0,1,0
726.96,4411,1,17,0,1,0
230.84,5311,1,20,0,1,0
187.15,4829,1,21,0,1,0
119.66,7995,1,15,0,0,1
207.6,3780,1,12,0,1,0
-289.0,3780,1,12,0,1,0
60.86,5814,1,12,0,0,1
191.27,5311,1,8,0,0,1
18.3,5541,1,12,0,0,1
319.0,3395,1,7,0,0,1
0.16,5310,1,7,0,0,1
0.84,5942,1,14,0,0,1
78.13,5311,1,14,0,0,1
182.41,5310,1,11,0,0,1
202.67,3395,1,2,0,0,1
-319.0,3395,1,2,0,0,1
129.29,5912,1,8,0,1,0
153.11,4814,1,9,0,1,0
65.29,5311,1,11,0,1,0
22.32,4131,1,11,0,1,0
150.64,4814,1,12,0,1,0
87.79,5411,1,13,0,0,1
67.0,5411,1,7,0,0,1
49.08,4829,1,8,0,1,0
414.0,3393,1,10,0,1,0
190.09,4829,1,10,0,1,0
-414.0,3393,1,2,0,1,0
6.1,3393,1,2,0,1,0
7.79,5912,1,8,0,0,1
49.73,5815,1,9,0,1,0
128.93,5719,1,9,0,1,0
0.37,5814,1,7,0,1,0
120.14,5651,1,8,0,1,0
141.43,4814,1,11,0,1,0
101.23,7996,1,13,0,1,0
166.15,5732,1,9,0,1,0
69.63,5300,1,9,0,1,0
166.28,5310,1,13,0,1,0
113.1,5719,1,14,0,1,0
2.9,5732,1,9,0,1,0
199.75,5300,1,9,0,1,0
88.63,5300,1,13,0,1,0
107.88,5812,1,11,1,0,0
150.13,5300,1,12,0,1,0
18.71,5411,1,13,0,0,1
5.4,5499,1,16,0,0,1
287.65,3008,1,16,0,0,1
165.17,4829,1,9,0,0,1
244.95,5251,1,8,0,1,0
287.1,5732,1,8,0,1,0
182.82,5932,1,8,0,0,1
113.77,5311,1,9,0,1,0
8.15,5719,1,4,0,1,0
26.66,5311,1,5,0,1,0
86.92,5311,1,7,0,1,0
148.28,5300,1,7,0,1,0
12.11,5311,1,13,0,1,0
137.26,5912,1,7,0,1,0
33.18,4214,1,8,0,1,0
0.38,5211,1,12,0,1,0
717.33,5533,1,12,0,1,0
116.26,5732,1,12,0,1,0
121.01,5300,1,13,0,1,0
160.39,3256,1,6,0,1,0
221.5,5300,1,9,0,1,0
37.73,4112,1,15,0,1,0
282.33,5311,1,16,0,1,0
68.04,7995,1,17,0,0,1
245.17,5300,1,9,0,1,0
13.86,4121,1,12,0,0,1
70.57,7995,1,12,0,0,1
295.84,5651,1,14,0,1,0
17.57,5912,1,16,0,1,0
163.66,5094,1,11,0,1,0
117.28,5310,1,12,0,0,1
161.64,5211,1,12,0,0,1
156.37,5651,1,8,0,0,1
217.74,5912,1,13,0,0,1
2.26,5651,1,17,0,0,1
62.04,5411,1,11,0,0,1
5.39,5094,1,7,0,0,1
326.0,3509,1,8,0,0,1
103.94,5651,1,9,0,0,1
82.54,5411,1,11,0,0,1
97.3,5211,1,14,0,0,1
0.5,5310,1,14,0,0,1
113.37,5310,1,10,0,0,1
72.76,5310,1,16,0,0,1
62.0,5912,1,11,0,0,1
77.74,5311,1,12,0,0,1
174.42,5311,1,14,0,0,1
278.19,5712,1,15,0,0,1
254.34,5932,1,17,0,0,1
205.87,5932,1,11,0,0,1
239.2,5712,1,15,0,0,1
1081.07,5300,1,9,0,0,1
0.04,5311,1,15,0,0,1
65.94,5211,1,15,0,1,0
101.73,4829,1,16,0,1,0
338.0,3722,1,17,0,1,0
31.73,5732,1,17,0,1,0
147.59,5816,1,9,0,1,0
231.28,3722,1,10,0,1,0
-338.0,3722,1,10,0,1,0
149.42,3006,1,22,0,1,0
2.32,5814,1,3,0,1,0
61.4,5814,1,1,0,1,0
41.87,5912,1,21,0,0,1
12.59,5732,1,22,0,1,0
7.41,5211,1,20,0,1,0
18.61,5300,1,22,0,1,0
81.76,5300,1,23,0,1,0
12.5,5311,1,10,0,1,0
45.48,5815,1,12,0,1,0
58.03,5651,1,15,0,1,0
10.75,4899,1,10,0,1,0
18.27,7922,1,15,1,0,0
32.24,5310,1,15,0,1,0
55.27,5311,1,16,0,1,0
116.62,5311,1,11,0,1,0
71.48,4829,1,11,0,1,0
130.59,5311,1,12,0,1,0
0.52,5310,1,13,0,0,1
90.47,4829,1,13,0,1,0
83.6,4121,1,14,0,1,0
124.78,3504,1,18,1,0,0
23.43,5311,1,18,1,0,0
193.82,5311,1,19,1,0,0
69.28,5651,1,12,1,0,0
2.96,5310,1,18,1,0,0
167.95,5814,1,13,1,0,0
9.8,5932,1,14,1,0,0
113.76,5211,1,18,1,0,0
37.46,5310,1,11,1,0,0
0.23,5932,1,13,1,0,0
109.76,5411,1,15,1,0,0
154.38,5300,1,9,0,1,0
3.35,9402,1,9,0,1,0
77.65,5932,1,18,0,0,1
27.47,7922,1,12,0,1,0
20.4,5815,1,14,0,1,0
19.27,5300,1,15,0,0,1
278.16,3174,1,5,0,1,0
74.33,5712,1,9,0,1,0
168.62,5300,1,13,0,1,0
104.57,5310,1,8,0,1,0
45.11,4131,1,8,0,1,0
31.22,5733,1,13,0,1,0
102.64,5300,1,14,0,1,0
137.42,5310,1,5,0,1,0
219.08,5310,1,5,0,1,0
3.33,5815,1,6,0,1,0
119.69,5300,1,8,0,1,0
118.06,5310,1,9,0,0,1
49.42,5045,1,11,0,1,0
40.56,5977,1,13,0,1,0
5.6,5942,1,9,0,1,0
30.59,5311,1,11,0,1,0
103.32,4829,1,11,0,1,0
121.43,4829,1,13,0,1,0
41.08,5411,1,14,1,0,0
85.04,4829,1,14,0,1,0
122.4,5300,1,15,0,1,0
25.93,4814,1,11,0,1,0
6.98,5311,1,7,0,1,0
193.22,4829,1,7,0,1,0
33.19,5813,1,8,0,0,1
123.52,5815,1,11,0,1,0
62.83,5814,1,13,0,1,0
27.01,5311,1,13,0,0,1
79.0,5311,1,15,0,1,0
0.36,4829,1,19,0,1,0
96.18,5300,1,19,0,0,1
38.78,5813,1,13,1,0,0
7.24,5651,1,18,1,0,0
64.24,5311,1,14,1,0,0
-96.0,5541,1,17,1,0,0
96.0,5541,1,17,1,0,0
60.36,5733,1,12,1,0,0
99.8,5311,1,12,1,0,0
30.86,5813,1,12,1,0,0
37.52,5045,1,15,1,0,0
19.94,5311,1,18,1,0,0
36.97,5921,1,12,1,0,0
1.88,5310,1,12,1,0,0
1.35,4829,1,9,0,0,1
28.8,5045,1,11,0,0,1
26.71,7210,1,12,0,0,1
12.72,5816,1,15,0,0,1
23.5,5311,1,15,0,0,1
76.65,4814,1,15,0,0,1
20.54,7802,1,10,0,0,1
24.02,5541,1,9,0,0,1
7.89,5541,1,10,0,0,1
203.95,7801,1,10,0,1,0
138.99,4829,1,11,0,1,0
116.37,5816,1,15,0,0,1
13.59,5541,1,8,0,0,1
114.32,5045,1,15,0,0,1
132.07,4829,1,12,0,0,1
5.13,5815,1,22,0,1,0
23.1,5311,1,1,0,1,0
11.94,5815,1,23,0,1,0
24.71,5310,1,22,0,1,0
1198.09,4411,1,2,0,1,0
7.24,4121,1,3,0,0,1
13.31,5251,1,3,0,1,0
8.73,4121,1,22,0,1,0
42.03,5300,1,22,0,1,0
76.96,5651,1,4,0,0,1
10.92,5815,1,6,0,1,0
57.2,7996,1,7,0,1,0
300.62,3075,1,9,0,1,0
168.42,5712,1,9,0,1,0
94.38,4814,1,10,0,1,0
124.84,5300,1,10,0,1,0
36.41,7832,1,11,0,1,0
64.67,4829,1,5,0,1,0
137.68,5211,1,12,0,1,0
2.08,5310,1,12,0,1,0
35.81,5310,1,14,0,0,1
80.68,5912,1,13,0,0,1
6.42,4121,1,15,0,0,1
9.5,5300,1,7,0,0,1
41.58,5813,1,8,0,0,1
274.97,4829,1,8,0,1,0
168.04,5815,1,10,0,1,0
67.44,5719,1,12,0,1,0
154.32,5310,1,12,0,1,0
123.05,5300,1,11,0,1,0
577.74,5300,1,11,0,0,1
116.98,5310,1,11,0,1,0
2.06,7996,1,12,0,1,0
144.05,5094,1,14,0,0,1
92.83,5816,1,9,0,1,0
186.72,5733,1,3,0,0,1
843.13,7549,1,6,0,0,1
231.31,3001,1,6,0,1,0
61.42,7801,1,6,0,1,0
31.61,5311,1,7,0,1,0
37.6,5310,1,9,0,1,0
66.05,5251,1,3,0,1,0
179.69,5300,1,6,0,0,1
56.43,5814,1,6,0,1,0
170.58,5814,1,6,0,1,0
215.58,5193,1,8,0,1,0
74.51,5251,1,8,0,1,0
53.47,5815,1,9,0,1,0
100.87,5300,1,9,0,1,0
152.31,3256,1,10,0,1,0
88.91,5310,1,12,1,0,0
63.07,5310,1,12,1,0,0
3.63,5311,1,13,1,0,0
70.66,5311,1,19,1,0,0
13.89,5310,1,19,1,0,0
27.86,5411,1,15,1,0,0
47.25,5045,1,12,1,0,0
164.0,5651,1,11,1,0,0
140.37,5311,1,12,1,0,0
134.3,5300,1,9,0,1,0
98.81,4121,1,9,0,1,0
1.49,5094,1,10,0,0,1
16.45,5300,1,12,0,1,0
365.6,5311,1,13,0,1,0
80.37,5719,1,15,0,1,0
72.83,5300,1,12,0,0,1
182.7,5932,1,15,0,0,1
2.17,5300,1,7,0,0,1
60.28,5300,1,8,0,0,1
53.93,5411,1,8,0,0,1
48.04,5921,1,9,0,0,1
131.43,4829,1,11,0,1,0
328.0,3722,1,18,1,0,0
56.6,5311,1,18,1,0,0
37.8,5310,1,17,1,0,0
327.0,3359,1,16,1,0,0
117.31,3359,1,16,1,0,0
70.78,5311,1,14,1,0,0
119.14,5932,1,16,1,0,0
92.46,5814,1,10,0,1,0
44.34,5310,1,10,0,1,0
95.26,5932,1,10,1,0,0
412.12,5311,1,11,1,0,0
363.92,5311,1,15,1,0,0
24.07,5311,1,16,1,0,0
0.08,5912,1,16,1,0,0
435.03,3009,1,19,1,0,0
4.3,5812,1,12,1,0,0
8.18,4214,1,13,1,0,0
8.47,4121,1,12,1,0,0
13.9,5411,1,18,1,0,0
9.61,5932,1,18,1,0,0
100.57,5651,1,14,1,0,0
51.78,5311,1,14,1,0,0
32.88,5311,1,15,1,0,0
33.86,5311,1,12,1,0,0
21.72,5311,1,13,1,0,0
110.31,5912,1,21,0,0,1
99.18,5211,1,13,0,0,1
31.82,4814,1,14,0,1,0
116.77,5311,1,16,0,1,0
170.47,7011,1,12,0,0,1
469.0,3389,1,16,0,1,0
2.96,5912,1,19,0,0,1
-469.0,3389,1,9,0,1,0
4.19,3389,1,9,0,1,0
57.61,5719,1,9,0,1,0
60.53,5310,1,9,0,0,1
69.63,5300,1,13,0,0,1
236.87,7922,1,14,0,0,1
3.94,5300,1,13,0,1,0
179.66,5310,1,15,0,1,0
5.4,5411,1,13,1,0,0
161.5,5311,1,14,0,1,0
256.72,5651,1,16,0,1,0
133.63,5300,1,9,1,0,0
265.45,5310,1,15,1,0,0
140.14,5300,1,16,1,0,0
440.49,5311,1,16,0,1,0
85.24,5311,1,9,0,1,0
1478.49,4411,1,10,0,1,0
113.77,5912,1,12,0,0,1
1.96,4829,1,12,0,1,0
170.58,3006,1,16,0,1,0
442.64,3075,1,16,0,1,0
217.89,5732,1,17,0,1,0
5.71,5310,1,10,0,1,0
77.6,7996,1,10,0,1,0
52.11,5815,1,10,0,1,0
115.51,4829,1,12,0,1,0
145.12,5311,1,10,0,1,0
62.79,4112,1,11,0,1,0
247.17,5651,1,16,0,1,0
87.41,5815,1,10,0,1,0
28.33,5211,1,11,0,1,0
87.32,7996,1,14,0,1,0
3.73,4829,1,14,0,1,0
6.73,5814,1,12,0,1,0
34.62,5211,1,15,0,1,0
11.81,5719,1,16,0,1,0
189.85,8011,1,17,0,0,1
94.22,4829,1,20,0,1,0
99.66,5311,1,20,0,1,0
39.16,5411,1,14,0,0,1
122.03,5300,1,8,0,0,1
59.84,5300,1,9,0,1,0
227.98,5045,1,12,0,1,0
23.27,5816,1,10,0,1,0
54.02,5411,1,10,0,0,1
29.17,5942,1,10,0,1,0
2.02,5732,1,12,0,1,0
44.68,4112,1,12,0,1,0
1.39,5045,1,14,0,1,0
49.64,5311,1,13,0,0,1
273.0,7011,1,13,0,0,1
86.0,5541,1,11,0,0,1
8.78,5541,1,11,0,0,1
557.37,5311,1,11,0,0,1
-86.0,5541,1,11,0,0,1
287.71,5310,1,13,0,0,1
0.69,5311,1,13,0,0,1
1.61,5311,1,15,0,0,1
25.28,5094,1,15,0,0,1
13.39,4121,1,17,0,0,1
0.05,7210,1,14,0,0,1
11.2,5541,1,15,0,0,1
21.28,5812,1,15,0,0,1
76.0,5541,1,15,0,0,1
-76.0,5541,1,15,0,0,1
237.39,7011,1,10,0,0,1
-273.0,7011,1,10,0,0,1
105.14,5719,1,7,0,1,0
115.5,5719,1,9,0,1,0
9.16,5311,1,10,0,1,0
171.88,5311,1,9,0,1,0
74.21,5816,1,9,0,1,0
215.12,5311,1,17,0,1,0
0.88,5311,1,1,0,1,0
1.02,5815,1,23,0,1,0
18.91,5300,1,2,0,1,0
896.24,5311,1,22,0,1,0
24.56,5094,1,22,0,0,1
17.05,5814,1,21,0,1,0
307.12,5311,1,2,0,1,0
13.51,5251,1,2,0,1,0
83.22,5311,1,3,0,1,0
82.6,5311,1,4,0,1,0
77.05,5310,1,1,0,1,0
59.62,5311,1,21,0,1,0
0.47,3001,1,4,0,1,0
83.03,5310,1,20,0,1,0
4.73,5300,1,13,0,0,1
97.79,4829,1,11,0,0,1
2.14,5921,1,18,0,0,1
77.58,4829,1,12,0,1,0
632.89,7538,1,10,0,0,1
27.93,5815,1,10,0,1,0
32.12,5311,1,12,0,1,0
19.83,5932,1,18,0,0,1
59.31,5921,1,10,1,0,0
85.11,5300,1,10,0,1,0
116.69,5815,1,12,0,1,0
1.82,5300,1,16,0,1,0
0.55,5310,1,16,1,0,0
246.68,3509,1,11,1,0,0
45.72,3389,1,13,1,0,0
147.41,5311,1,13,1,0,0
26.83,5311,1,14,1,0,0
15.9,5311,1,19,1,0,0
17.87,4121,1,11,1,0,0
13.59,4214,1,16,1,0,0
1.6,5541,1,18,1,0,0
25.08,5812,1,19,1,0,0
18.44,5921,1,14,1,0,0
80.24,5310,1,17,1,0,0
105.0,7011,1,8,0,0,1
44.93,5411,1,10,0,0,1
76.1,5411,1,11,0,0,1
157.15,7011,1,2,0,0,1
36.41,5411,1,13,0,0,1
165.49,5094,1,13,0,0,1
1.96,4814,1,7,0,1,0
123.12,5651,1,7,0,1,0
387.47,4814,1,9,0,1,0
3.09,3006,1,9,0,1,0
26.72,5814,1,10,0,1,0
31.86,5311,1,10,0,0,1
210.98,5719,1,7,0,1,0
129.41,5912,1,8,0,0,1
42.44,5651,1,12,0,0,1
5.94,5311,1,13,0,0,1
141.19,5045,1,13,0,0,1
756.54,5311,1,16,0,0,1
113.73,7922,1,7,0,0,1
50.96,3389,1,17,1,0,0
167.49,5651,1,15,1,0,0
79.89,5311,1,11,1,0,0
26.61,5311,1,19,1,0,0
4.05,5311,1,14,1,0,0
20.46,5411,1,17,1,0,0
24.69,4214,1,19,1,0,0
14.32,5311,1,12,1,0,0
326.0,7011,1,12,1,0,0
12.28,5310,1,14,1,0,0
24.18,5813,1,17,1,0,0
8.03,4829,1,12,0,0,1
6.04,5300,1,13,0,0,1
0.81,4829,1,13,0,0,1
144.36,5541,1,18,0,0,1
24.05,7995,1,14,0,0,1
213.8,8011,1,17,0,0,1
7.08,5310,1,16,0,0,1
51.43,5932,1,15,0,0,1
400.18,4814,1,17,0,0,1
21.6,4829,1,17,0,0,1
486.71,5732,1,13,0,1,0
307.0,3775,1,13,0,1,0
247.86,5300,1,14,1,0,0
82.03,7832,1,21,0,1,0
57.25,5310,1,11,1,0,0
-307.0,3775,1,6,0,1,0
349.25,3775,1,6,0,1,0
66.04,7996,1,8,0,0,1
104.87,5732,1,8,0,1,0
88.13,5045,1,8,0,0,1
239.05,5719,1,12,0,0,1
181.63,4814,1,10,0,1,0
148.0,3596,1,9,0,1,0
45.16,5310,1,9,0,1,0
38.66,5311,1,10,0,1,0
-148.0,3596,1,4,0,1,0
345.11,3596,1,4,0,1,0
329.52,5311,1,9,0,1,0
35.34,7832,1,10,0,1,0
33.78,5813,1,10,0,0,1
0.94,7832,1,12,0,1,0
153.19,4829,1,12,0,1,0
93.56,5719,1,14,0,1,0
267.0,4722,1,14,0,1,0
193.54,4722,1,7,0,1,0
-267.0,4722,1,7,0,1,0
2554.95,4411,1,10,0,1,0
58.06,5977,1,10,0,1,0
19.28,5921,1,11,0,0,1
162.73,5732,1,13,0,1,0
119.3,5816,1,8,0,1,0
181.46,5732,1,6,0,1,0
202.0,3596,1,11,0,1,0
74.66,5251,1,11,0,1,0
160.79,5814,1,11,0,1,0
81.72,5045,1,11,0,1,0
71.11,5311,1,7,0,1,0
46.6,5815,1,7,0,1,0
267.93,5310,1,9,0,1,0
29.24,5732,1,9,0,1,0
1010.87,5533,1,6,0,1,0
57.92,4121,1,10,0,0,1
11.6,5411,1,7,0,0,1
188.95,5732,1,13,0,1,0
296.9,3596,1,4,0,1,0
-202.0,3596,1,4,0,1,0
17.42,4121,1,13,1,0,0
6.98,5651,1,14,1,0,0
8.58,5411,1,16,1,0,0
3.06,5411,1,18,1,0,0
1.78,5947,1,18,1,0,0
42.72,5411,1,19,1,0,0
14.24,5211,1,17,1,0,0
27.76,5311,1,17,1,0,0
66.43,5912,1,9,0,1,0
56.97,5815,1,10,0,1,0
73.95,5411,1,7,0,0,1
44.6,5970,1,11,0,1,0
0.69,5300,1,11,0,1,0
154.06,5932,1,12,1,0,0
65.35,5912,1,19,1,0,0
170.05,5651,1,13,1,0,0
88.52,5813,1,13,1,0,0
1.12,5311,1,15,1,0,0
5.17,5411,1,11,1,0,0
229.0,3509,1,14,1,0,0
87.66,5310,1,18,1,0,0
24.35,5912,1,15,1,0,0
56.37,5311,1,9,0,1,0
303.66,5712,1,10,0,0,1
22.55,5921,1,10,0,0,1
43.03,5311,1,10,0,1,0
58.32,5921,1,10,0,0,1
93.27,5912,1,11,0,0,1
194.0,4722,1,11,0,1,0
3.35,3001,1,11,0,1,0
116.18,5311,1,13,0,1,0
44.97,5815,1,13,0,1,0
56.19,5310,1,9,0,0,1
22.49,5651,1,13,0,1,0
-194.0,4722,1,8,0,1,0
305.92,4722,1,8,0,1,0
0.35,5813,1,9,0,0,1
373.27,5912,1,11,1,0,0
70.81,5094,1,11,0,1,0
50.0,5310,1,8,0,1,0
212.99,4112,1,8,0,1,0
155.17,5719,1,9,0,1,0
164.86,5300,1,7,0,1,0
1004.4,4722,1,7,0,1,0
33.53,5815,1,8,0,1,0
161.15,5719,1,8,0,1,0
324.0,3722,1,9,0,1,0
112.85,5719,1,10,0,1,0
171.74,5045,1,13,0,1,0
180.14,3722,1,2,0,1,0
-324.0,3722,1,2,0,1,0
1717.37,4411,1,12,0,1,0
24.87,5310,1,15,0,1,0
30.98,5311,1,21,0,1,0
0.83,5912,1,10,0,1,0
4.51,5311,1,16,0,1,0
262.93,4829,1,20,0,1,0
422.41,5300,1,17,0,1,0
220.1,5310,1,14,0,0,1
4.25,5411,1,13,0,0,1
117.8,5310,1,14,0,0,1
22.26,5310,1,15,0,0,1
81.89,5912,1,16,0,0,1
1.3,5912,1,16,0,0,1
90.35,5310,1,9,0,1,0
137.88,5311,1,9,0,1,0
183.56,5300,1,10,1,0,0
7.18,3009,1,12,0,1,0
75.44,4829,1,12,0,1,0
64.85,3058,1,12,0,1,0
329.75,3008,1,9,0,1,0
147.81,5719,1,9,0,1,0
6.42,5732,1,10,0,1,0
148.58,5311,1,12,0,1,0
142.58,5310,1,10,0,1,0
75.01,5193,1,15,0,1,0
61.06,5815,1,16,0,1,0
150.55,5719,1,11,0,1,0
1.18,5815,1,12,0,1,0
87.3,5300,1,12,0,1,0
1434.73,4411,1,10,0,1,0
3.42,5815,1,11,0,1,0
378.55,3009,1,13,0,1,0
282.06,5310,1,9,0,1,0
81.44,4829,1,13,0,1,0
81.68,5193,1,11,0,1,0
52.98,4121,1,11,0,1,0
497.0,3596,1,13,0,1,0
405.02,5300,1,13,1,0,0
364.79,3000,1,14,0,1,0
18.07,5912,1,9,0,0,1
122.84,3596,1,8,0,1,0
-497.0,3596,1,8,0,1,0
72.69,7832,1,10,0,0,1
40.77,7996,1,10,0,1,0
336.3,4411,1,10,0,1,0
47.48,7995,1,13,0,0,1
36.4,5912,1,14,0,0,1
20.88,5311,1,16,0,1,0
813.31,4411,1,9,0,1,0
6.11,5311,1,12,0,1,0
116.38,4829,1,12,0,1,0
43.48,7922,1,14,0,0,1
67.44,5411,1,9,0,0,1
87.41,4829,1,10,0,1,0
43.17,4829,1,10,0,1,0
9.94,5310,1,10,0,1,0
24.19,5912,1,12,0,1,0
67.01,5300,1,14,0,0,1
72.39,5719,1,16,0,1,0
74.54,7832,1,10,0,0,1
204.31,4722,1,10,0,1,0
56.23,7922,1,11,0,0,1
14.87,4214,1,12,0,1,0
233.65,5045,1,12,0,1,0
0.24,5932,1,11,0,0,1
